2024-11-20 12:12:48,406 INFO    MainThread:2036 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
2024-11-20 12:12:48,407 INFO    MainThread:2036 [wandb_setup.py:_flush():79] Configure stats pid to 2036
2024-11-20 12:12:48,407 INFO    MainThread:2036 [wandb_setup.py:_flush():79] Loading settings from /root/.config/wandb/settings
2024-11-20 12:12:48,407 INFO    MainThread:2036 [wandb_setup.py:_flush():79] Loading settings from /root/Codes/part3/wandb/settings
2024-11-20 12:12:48,407 INFO    MainThread:2036 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-20 12:12:48,407 INFO    MainThread:2036 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'part3/rnn/train.py', 'program_abspath': '/root/Codes/part3/rnn/train.py', 'program': 'rnn/train.py'}
2024-11-20 12:12:48,407 INFO    MainThread:2036 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-20 12:12:48,407 INFO    MainThread:2036 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-20 12:12:48,407 INFO    MainThread:2036 [wandb_init.py:_log_setup():533] Logging user logs to /root/Codes/part3/wandb/run-20241120_121248-n01j71to/logs/debug.log
2024-11-20 12:12:48,407 INFO    MainThread:2036 [wandb_init.py:_log_setup():534] Logging internal logs to /root/Codes/part3/wandb/run-20241120_121248-n01j71to/logs/debug-internal.log
2024-11-20 12:12:48,407 INFO    MainThread:2036 [wandb_init.py:init():619] calling init triggers
2024-11-20 12:12:48,407 INFO    MainThread:2036 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-20 12:12:48,407 INFO    MainThread:2036 [wandb_init.py:init():669] starting backend
2024-11-20 12:12:48,407 INFO    MainThread:2036 [wandb_init.py:init():673] sending inform_init request
2024-11-20 12:12:48,409 INFO    MainThread:2036 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-20 12:12:48,410 INFO    MainThread:2036 [wandb_init.py:init():686] backend started and connected
2024-11-20 12:12:48,415 INFO    MainThread:2036 [wandb_init.py:init():781] updated telemetry
2024-11-20 12:12:48,460 INFO    MainThread:2036 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-20 12:12:49,220 INFO    MainThread:2036 [wandb_init.py:init():867] starting run threads in backend
2024-11-20 12:12:49,392 INFO    MainThread:2036 [wandb_run.py:_console_start():2451] atexit reg
2024-11-20 12:12:49,392 INFO    MainThread:2036 [wandb_run.py:_redirect():2299] redirect: wrap_raw
2024-11-20 12:12:49,392 INFO    MainThread:2036 [wandb_run.py:_redirect():2364] Wrapping output streams.
2024-11-20 12:12:49,392 INFO    MainThread:2036 [wandb_run.py:_redirect():2389] Redirects installed.
2024-11-20 12:12:49,394 INFO    MainThread:2036 [wandb_init.py:init():911] run started, returning control to user process
2024-11-20 12:16:33,487 WARNING MsgRouterThr:2036 [router.py:message_loop():75] message_loop has been closed
